,life_expectancy_both,life_expectancy_female,life_expectancy_male,urban_population_percent,urban_population_absolute,population_density_km2,GDPperCapitaPPP,Population,TotalGDP,LogGDPperCapita,LogPopulation,life_expectancy_both_scaled,LogGDPperCapita_scaled,LogPopulation_scaled
Malta,83.6,85.5,81.7,76.5,417398,142.7159090909091,58199.4,524335,30515982399.0,4.76491850736411,5.719608848367043,1.395987474175305,1.2185247752143875,-1.3684786897023473
Mauritania,68.9,71.0,66.9,60.3,3206736,5.0,5836.566,4734824,27635112774.384,3.7661574008975016,6.675303840308794,-0.6982272839548466,-0.7501545177983664,-0.2456840471756234
Mauritius,75.3,78.5,72.3,41.5,526689,625.0,22737.572,1279587,29094701542.764,4.3567440872954295,6.107069819207518,0.21353968557120534,0.41396348070269956,-0.9132716352382556
Mexico,75.4,78.2,72.6,87.9,115925945,68.0,21031.709,127648107,2684657840824.863,4.322874564132515,8.106014378673757,0.22778604447005113,0.34720254209252577,1.4351808114116191
Micronesia,71.8,74.8,69.0,23.5,26661,162.0,3921.725,111589,437621371.025,3.5934771367132523,5.047621385687995,-0.28508287588835496,-1.0905282650442691,-2.1579606157383786
Moldova,71.5,75.8,66.8,57.7,1729211,91.0,15682.07,3023731,47418361203.17,4.195403388083277,6.480543152433655,-0.32782195258488833,0.09594139153378914,-0.4744979038609303
Mongolia,72.2,76.9,67.8,67.2,2362934,2.0,14792.251,3339627,49400600830.377,4.170034267471703,6.523697963551752,-0.22809744029297585,0.0459357774719449,-0.42379763742529236
Montenegro,77.4,80.6,74.1,68.7,434519,47.0,24509.936,603805,14799221906.480001,4.389342177229919,5.780896705016027,0.5127132224469427,0.4782182701916835,-1.2964748833858453
Morocco,75.7,78.0,73.5,67.3,25869035,86.0,8623.266,36954394,318667569330.804,3.9356717828941425,7.567666084855283,0.27052512116658445,-0.4160211083734987,0.8027043568843495
Mozambique,64.0,66.9,60.7,41.6,14810679,45.0,1457.2354,31707757,46205665954.9978,3.1635297128292255,7.5011655212142,-1.3962988699982317,-1.9380067911946663,0.7245764214961875
Myanmar,67.3,70.6,64.2,34.1,18722491,84.0,5178.4473,53387059,276462071533.49066,3.7141995608790186,7.727435996991049,-0.9261690263363611,-0.8525697230879776,0.9904094331854474
Namibia,67.7,71.6,63.6,54.4,1683548,4.0,9709.1,2810509,27287512931.9,3.9871789741768957,6.448784980358036,-0.869183590740982,-0.3144941864068058,-0.5118088720710888
Nepal,70.9,72.4,69.3,24.5,7265589,207.0,4546.2295,29474963,133999946302.00851,3.6576513557329466,7.4694532685964425,-0.41330010597795497,-0.9640330948665933,0.6873194015872222
Netherlands,82.4,84.0,80.9,88.9,16318658,544.0,69323.33,17730519,1229138619708.27,4.840879416215704,7.24872144826517,1.2250311673891716,1.3682529408050672,0.42799345827597973
New Zealand,82.4,84.0,80.8,83.6,4388310,20.0,48194.043,5107644,246158014564.692,4.682993360809177,6.708220619557801,1.2250311673891716,1.0570403736337945,-0.20701189371489528
Nicaragua,75.3,77.7,72.6,58.1,4071293,58.0,7086.6226,6644688,47088396150.748795,3.850439304907455,6.822474593546699,0.21353968557120534,-0.5840246613934792,-0.07278104499873876
Niger,61.7,62.7,60.7,18.2,5067678,22.0,1585.5992,24502100,38850510158.32,3.20019341802183,7.389203308010562,-1.7239651246716567,-1.8657381808628541,0.5930380392608
Nigeria,54.8,55.1,54.5,54.9,130312056,261.0,5491.7,218529237,1200097010832.9,3.739706804620217,8.339509549399498,-2.7069638886919334,-0.8022918515829707,1.7095017286051495
North Macedonia,77.7,79.8,75.4,69.4,1258951,72.0,22371.496,1851059,41410959014.264,4.34969502669034,6.267420261522258,0.555452299143476,0.4000689271817619,-0.7248845252545781
Norway,83.6,85.1,82.1,85.9,4830373,15.0,89209.14,5408030,482445705394.2,4.950409352674451,6.733039092104867,1.395987474175305,1.5841497318146673,-0.17785400521856223
Oman,80.5,82.2,78.9,90.8,4989686,18.0,38719.457,4500378,174252192454.746,4.587929258151923,6.6532489929797185,0.9543503483111239,0.8696574957879882,-0.27159510104911666
Pakistan,67.9,70.5,65.6,34.4,87777053,331.0,5367.2734,239477758,1285342600405.037,3.7297537180906857,8.379265183611002,-0.8406908729432924,-0.8219105924664372,1.7562084849231208
Panama,80.0,82.8,77.1,70.7,3229574,61.0,30932.764,4345360,134413995375.04,4.490418728160822,6.638025762266137,0.883118553816901,0.6774524129095463,-0.28948005600993454
Papua New Guinea,66.4,69.3,63.9,12.6,1351201,24.0,3976.9038,10012849,39820137236.9262,3.599545085671807,7.000557666783448,-1.0543862564259612,-1.0785676015898957,0.13643917927873983
Paraguay,74.1,77.2,71.1,59.525786163522014,4770669,18.0,15406.167,6684130,102976823029.70999,4.1876946012225345,6.825044887919979,0.042583378785069965,0.08074643753654856,-0.06976134438675503
Peru,78.1,80.5,75.8,80.6,27880400,27.0,15282.273,33155845,506696674835.685,4.184187953581428,7.5205601006890115,0.6124377347388532,0.07383440967098441,0.7473620697542503
Philippines,70.1,73.1,67.1,49.3,57606092,392.0,8857.79,113100906,1001824074157.7401,3.9473253798410073,8.053466083875275,-0.5272709771687132,-0.393050455181392,1.3734446462426728
Poland,79.0,82.6,75.3,59.2,22598335,125.0,41774.582,38040252,1589115626474.664,4.62091211299986,7.580243385285538,0.7406549648284552,0.9346707035943034,0.8174807506706636
Portugal,82.7,85.4,79.9,66.5,6926293,114.0,38862.09,10390906,403812324153.54,4.589526153213311,7.016653416050578,1.267770244085705,0.8728051696612636,0.15534920935838747
Puerto Rico,82.1,85.5,78.5,59.525786163522014,0,365.0,40559.7,3253158,131947112532.59999,4.608094734076108,6.51230515669156,1.1822920906926364,0.9094060949561492,-0.4371824334259235
Qatar,82.7,83.6,82.0,96.6,3010901,268.0,116832.57,2814939,328876557763.23004,5.067563930100526,6.449468988085967,1.267770244085705,1.8150756150584846,-0.5110052681819367
Romania,76.2,79.8,72.7,55.2,10431178,82.0,38071.176,19248115,732798373833.24,4.5805962921656285,7.284388204744118,0.34175691566080735,0.8552033303222776,0.4698964120724666
Russia,73.5,79.3,67.7,59.525786163522014,108062384,9.0,38938.496,145836117,5678639058460.032,4.5903791728769985,8.163865092372623,-0.042894774607996705,0.8744865748917655,1.5031465033479776
Rwanda,68.2,70.4,65.9,18.3,2659944,591.0,2731.09,13355214,36474291403.26,3.436336012061864,7.125650851419504,-0.797951796246759,-1.40027248333524,0.2834044335808478
Saint Lucia,73.0,76.6,69.6,19.9,35853,295.0,19101.166,178489,3409348018.1740003,4.281059878866041,5.251611456378157,-0.1141265691022196,0.2647807252086263,-1.918303653600063
Samoa,71.9,74.0,70.1,16.3,35747,77.0,6214.017,213745,1328215063.665,3.793372437041919,5.329895964346141,-0.27083651698950917,-0.6965103803072163,-1.8263313958395553
Sao Tome & Principe,70.1,74.1,66.6,78.2,187994,250.0,5732.6943,221926,1272233915.2218,3.758358783330071,5.346208185490504,-0.5272709771687132,-0.7655265390151734,-1.8071670445946157
Saudi Arabia,79.2,81.5,77.6,92.1,31842626,16.0,55768.234,31328320,1747125080586.88,4.746386892004587,7.495937106203369,0.7691476826261447,1.1819967134104619,0.7184338379181991
Senegal,69.2,71.3,67.2,52.3,9903731,98.0,4173.6772,17220821,71874147972.9812,3.620518856880871,7.23605385253402,-0.6554882072583132,-1.0372257543670418,0.41311098139731495
Serbia,77.1,80.3,73.9,73.6,4923756,76.0,23668.523,6835386,161783490754.87802,4.37417115725465,6.83476304457123,0.46997414575040736,0.44831434953856825,-0.05834400484300591
Seychelles,73.1,76.8,70.2,43.8,58120,289.0,29979.828,122951,3686049832.428,4.476829136889006,5.089732065345706,-0.09988021020337584,0.6506656800621098,-2.108487043195352
Sierra Leone,62.1,63.9,60.4,45.5,4017056,122.0,2848.706,8094551,23058996001.006,3.45464763029733,6.908192763697114,-1.6669796890762787,-1.3641780625490196,0.027924622629104928
Singapore,84.0,86.5,81.5,59.525786163522014,0,142.7159090909091,131864.1,5546240,731349945984.0,5.120126574969747,6.743998658682243,1.4529729097706843,1.9186829640732095,-0.16497819992372448
Slovakia,78.7,81.8,75.4,59.525786163522014,2955290,114.0,38437.492,5442712,209204198958.304,4.5847550427297366,6.73581535432076,0.6979158881319218,0.8634007321507582,-0.1745923240665861
Slovenia,81.9,84.6,79.3,55.7,1179249,105.0,46274.28,2113450,97798377066.0,4.665339670116253,6.324991977747741,1.1537993728949487,1.0222428078421455,-0.6572466124433936
